id,kind,latitude,longitude,depth,time,temperature,salinity,speed,chlorophyll
DEMO-ARGO-02,Argo,12.5,68.6,150,2026-09-07T00:00:00.000Z,20.24534,35.49145,0.29805,0.13317
DEMO-ARGO-02,Argo,12.5,68.6,200,2026-09-07T00:00:00.000Z,18.78567,35.40736,0.29963,0.02999
DEMO-ARGO-02,Argo,12.5,68.6,300,2026-09-07T00:00:00.000Z,16.03284,35.26351,0.28850,0.02986
DEMO-ARGO-02,Argo,12.5,68.6,500,2026-09-07T00:00:00.000Z,11.77302,35.09103,0.25132,0.03469
DEMO-ARGO-02,Argo,12.5,68.6,700,2026-09-07T00:00:00.000Z,8.90383,35.00499,0.21168,0.03353
DEMO-ARGO-02,Argo,12.5,68.6,1000,2026-09-07T00:00:00.000Z,6.21111,34.92927,0.15541,0.02686
DEMO-ARGO-02,Argo,12.5,68.6,1500,2026-09-07T00:00:00.000Z,4.15001,34.86639,0.08703,0.01739
DEMO-ARGO-02,Argo,12.5,68.6,2000,2026-09-07T00:00:00.000Z,3.26391,34.82029,0.03964,0.00898
DEMO-ARGO-03,Argo,8.8,89.1,0,2026-09-07T00:00:00.000Z,29.79341,34.59421,0.57942,0.23290
DEMO-ARGO-03,Argo,8.8,89.1,10,2026-09-07T00:00:00.000Z,28.71274,34.55390,0.55829,0.29160
DEMO-ARGO-03,Argo,8.8,89.1,25,2026-09-07T00:00:00.000Z,27.41145,34.52799,0.53775,0.39465
DEMO-ARGO-03,Argo,8.8,89.1,50,2026-09-07T00:00:00.000Z,25.76364,34.53674,0.52069,0.54076
DEMO-ARGO-03,Argo,8.8,89.1,75,2026-09-07T00:00:00.000Z,24.47653,34.57561,0.51409,0.56025
DEMO-ARGO-03,Argo,8.8,89.1,100,2026-09-07T00:00:00.000Z,23.48407,34.63746,0.51564,0.43937
DEMO-ARGO-03,Argo,8.8,89.1,150,2026-09-07T00:00:00.000Z,21.45555,34.71961,0.50837,0.12827
DEMO-ARGO-03,Argo,8.8,89.1,200,2026-09-07T00:00:00.000Z,19.61588,34.78219,0.49800,0.04070
DEMO-ARGO-03,Argo,8.8,89.1,300,2026-09-07T00:00:00.000Z,16.14754,34.82695,0.45947,0.03484
DEMO-ARGO-03,Argo,8.8,89.1,500,2026-09-07T00:00:00.000Z,11.11214,34.84078,0.37995,0.03049
DEMO-ARGO-03,Argo,8.8,89.1,700,2026-09-07T00:00:00.000Z,7.84847,34.80968,0.30531,0.02187
DEMO-ARGO-03,Argo,8.8,89.1,1000,2026-09-07T00:00:00.000Z,5.13897,34.76710,0.21753,0.01248
DEMO-ARGO-03,Argo,8.8,89.1,1500,2026-09-07T00:00:00.000Z,3.43970,34.73570,0.12296,0.00616
DEMO-ARGO-03,Argo,8.8,89.1,2000,2026-09-07T00:00:00.000Z,3.01909,34.73233,0.06850,0.00548
DEMO-GLIDER-04,Glider,16.8,88.2,0,2026-09-07T00:00:00.000Z,28.88668,34.62376,0.37705,0.22374
DEMO-GLIDER-04,Glider,16.88,88.4126765529175,10,2026-09-07T00:00:00.000Z,28.00858,34.60194,0.36465,0.28837
DEMO-GLIDER-04,Glider,16.96,88.60194037199533,25,2026-09-07T00:00:00.000Z,27.09287,34.61433,0.36038,0.40243
DEMO-GLIDER-04,Glider,17.04,88.74695614012514,50,2026-09-07T00:00:00.000Z,25.87256,34.66173,0.36220,0.56113
DEMO-GLIDER-04,Glider,17.12,88.83175963588616,75,2026-09-07T00:00:00.000Z,24.87896,34.72421,0.36940,0.58698
DEMO-GLIDER-04,Glider,17.2,88.84701517253865,100,2026-09-07T00:00:00.000Z,23.94078,34.78154,0.37560,0.46351
DEMO-GLIDER-04,Glider,17.28,88.7910433274367,150,2026-09-07T00:00:00.000Z,21.74321,34.82393,0.36703,0.13950
DEMO-GLIDER-04,Glider,17.36,88.67000582312991,200,2026-09-07T00:00:00.000Z,19.56919,34.83024,0.34910,0.04094
DEMO-GLIDER-04,Glider,17.44,88.49722720731329,300,2026-09-07T00:00:00.000Z,15.78277,34.81434,0.30899,0.02618
DEMO-GLIDER-04,Glider,17.52,88.29172800523892,500,2026-09-07T00:00:00.000Z,10.57663,34.78579,0.24345,0.01665
DEMO-GLIDER-04,Glider,17.6,88.07613082413094,700,2026-09-07T00:00:00.000Z,7.34196,34.75123,0.18844,0.00848
DEMO-GLIDER-04,Glider,17.68,87.87416991841758,1000,2026-09-07T00:00:00.000Z,4.87383,34.73724,0.13310,0.00502
DEMO-GLIDER-04,Glider,17.76,87.70807837804985,1500,2026-09-07T00:00:00.000Z,3.53210,34.75272,0.07976,0.00766
DEMO-GLIDER-04,Glider,17.84,87.596140574174,2000,2026-09-07T00:00:00.000Z,3.45670,34.79380,0.05591,0.01533
DEMO-CTD-05,CTD,7.5,80.7,0,2026-09-07T00:00:00.000Z,28.50208,35.37069,0.34423,0.21473
DEMO-CTD-05,CTD,7.5,80.7,10,2026-09-07T00:00:00.000Z,28.01742,35.36285,0.34729,0.28744
DEMO-CTD-05,CTD,7.5,80.7,25,2026-09-07T00:00:00.000Z,27.43424,35.36734,0.35628,0.40753
DEMO-CTD-05,CTD,7.5,80.7,50,2026-09-07T00:00:00.000Z,26.34767,35.35680,0.36398,0.56713
DEMO-CTD-05,CTD,7.5,80.7,75,2026-09-07T00:00:00.000Z,25.23504,35.33814,0.36727,0.59009
DEMO-CTD-05,CTD,7.5,80.7,100,2026-09-07T00:00:00.000Z,23.97160,35.29602,0.36158,0.46120
DEMO-CTD-05,CTD,7.5,80.7,150,2026-09-07T00:00:00.000Z,21.37218,35.18834,0.33865,0.13302
DEMO-CTD-05,CTD,7.5,80.7,200,2026-09-07T00:00:00.000Z,18.88570,35.07575,0.30963,0.02875
DEMO-CTD-05,CTD,7.5,80.7,300,2026-09-07T00:00:00.000Z,15.00626,34.93245,0.26742,0.01184
DEMO-CTD-05,CTD,7.5,80.7,500,2026-09-07T00:00:00.000Z,9.98028,34.80336,0.21078,0.00589
DEMO-CTD-05,CTD,7.5,80.7,700,2026-09-07T00:00:00.000Z,7.12071,34.76310,0.17150,0.00569
DEMO-CTD-05,CTD,7.5,80.7,1000,2026-09-07T00:00:00.000Z,5.08541,34.77348,0.13427,0.01133
DEMO-CTD-05,CTD,7.5,80.7,1500,2026-09-07T00:00:00.000Z,4.06431,34.81635,0.09524,0.02050
DEMO-CTD-05,CTD,7.5,80.7,2000,2026-09-07T00:00:00.000Z,4.06063,34.86356,0.07571,0.02947
DEMO-BGC-06,BGC,18.8,89.9,0,2026-09-07T00:00:00.000Z,28.83889,34.43856,0.39739,0.21686
DEMO-BGC-06,BGC,18.8,89.9,10,2026-09-07T00:00:00.000Z,28.58598,34.50354,0.40946,0.29327
DEMO-BGC-06,BGC,18.8,89.9,25,2026-09-07T00:00:00.000Z,27.98962,34.56916,0.41804,0.41033
DEMO-BGC-06,BGC,18.8,89.9,50,2026-09-07T00:00:00.000Z,26.64019,34.62175,0.41570,0.56025
DEMO-BGC-06,BGC,18.8,89.9,75,2026-09-07T00:00:00.000Z,25.12357,34.63853,0.40341,0.57392
DEMO-BGC-06,BGC,18.8,89.9,100,2026-09-07T00:00:00.000Z,23.47076,34.62442,0.38262,0.44010
DEMO-BGC-06,BGC,18.8,89.9,150,2026-09-07T00:00:00.000Z,20.63417,34.61558,0.35007,0.11613
DEMO-BGC-06,BGC,18.8,89.9,200,2026-09-07T00:00:00.000Z,18.16690,34.60703,0.32104,0.01543
DEMO-BGC-06,BGC,18.8,89.9,300,2026-09-07T00:00:00.000Z,14.53701,34.63904,0.28638,0.00500
DEMO-BGC-06,BGC,18.8,89.9,500,2026-09-07T00:00:00.000Z,9.90610,34.70549,0.23978,0.00810
DEMO-BGC-06,BGC,18.8,89.9,700,2026-09-07T00:00:00.000Z,7.42848,34.76801,0.20987,0.01605
DEMO-BGC-06,BGC,18.8,89.9,1000,2026-09-07T00:00:00.000Z,5.61192,34.82911,0.17414,0.02561
DEMO-BGC-06,BGC,18.8,89.9,1500,2026-09-07T00:00:00.000Z,4.56295,34.87102,0.12607,0.03289
DEMO-BGC-06,BGC,18.8,89.9,2000,2026-09-07T00:00:00.000Z,4.28208,34.88210,0.09123,0.03490
DEMO-ARGO-07,Argo,15.2,71.1,0,2026-09-07T00:00:00.000Z,27.83227,36.08063,0.17929,0.22082
DEMO-ARGO-07,Argo,15.2,71.1,10,2026-09-07T00:00:00.000Z,27.46703,36.05881,0.18841,0.29073
DEMO-ARGO-07,Argo,15.2,71.1,25,2026-09-07T00:00:00.000Z,26.56919,35.98368,0.18743,0.39456
DEMO-ARGO-07,Argo,15.2,71.1,50,2026-09-07T00:00:00.000Z,24.87544,35.83556,0.17513,0.52785
DEMO-ARGO-07,Argo,15.2,71.1,75,2026-09-07T00:00:00.000Z,23.11230,35.68000,0.15655,0.53382
DEMO-ARGO-07,Argo,15.2,71.1,100,2026-09-07T00:00:00.000Z,21.43250,35.53519,0.13779,0.40464
DEMO-ARGO-07,Argo,15.2,71.1,150,2026-09-07T00:00:00.000Z,18.87115,35.34330,0.12174,0.10073
DEMO-ARGO-07,Argo,15.2,71.1,200,2026-09-07T00:00:00.000Z,16.85726,35.21559,0.11573,0.01297
DEMO-ARGO-07,Argo,15.2,71.1,300,2026-09-07T00:00:00.000Z,13.80332,35.06273,0.11367,0.01195
DEMO-ARGO-07,Argo,15.2,71.1,500,2026-09-07T00:00:00.000Z,9.74999,34.92042,0.10805,0.02125
DEMO-ARGO-07,Argo,15.2,71.1,700,2026-09-07T00:00:00.000Z,7.53868,34.88998,0.10508,0.03004
DEMO-ARGO-07,Argo,15.2,71.1,1000,2026-09-07T00:00:00.000Z,5.73677,34.87618,0.09182,0.03474
DEMO-ARGO-07,Argo,15.2,71.1,1500,2026-09-07T00:00:00.000Z,4.49362,34.85720,0.06506,0.03342
DEMO-ARGO-07,Argo,15.2,71.1,2000,2026-09-07T00:00:00.000Z,3.89352,34.81975,0.03815,0.02663
